"","method","variate","design","number","RMSE"
"281","exhaustive_test","OCS","clusterGapped",33,7.89094993354181
"282","exhaustive_test","OCS","clusterGapped",34,7.93469614580497
"283","exhaustive_test","OCS","clusterGapped",35,8.1398867282793
"284","exhaustive_test","OCS","clusterGapped",36,8.43701583666998
"285","exhaustive_test","OCS","clusterGapped",37,8.14303676906253
"286","exhaustive_test","OCS","clusterGapped",38,7.99437819656846
"287","exhaustive_test","OCS","clusterGapped",39,8.28474432251561
"288","exhaustive_test","OCS","clusterGapped",40,9.19146961779254
"289","exhaustive_test","OCS","clusterGapped",41,7.7986883867716
"290","exhaustive_test","OCS","clusterGapped",42,8.08177227781867
"291","exhaustive_test","OCS","clusterGapped",43,8.57106787048401
"292","exhaustive_test","OCS","clusterGapped",44,8.54921982464988
"293","exhaustive_test","OCS","clusterGapped",45,8.00207169277792
"294","exhaustive_test","OCS","clusterGapped",46,7.86597430568324
"295","exhaustive_test","OCS","clusterGapped",47,7.99891948442714
"296","exhaustive_test","OCS","clusterGapped",48,7.77094541957338
"297","exhaustive_test","OCS","clusterGapped",49,7.8749924460673
"298","exhaustive_test","OCS","clusterGapped",50,8.16361801001341
"299","exhaustive_test","OCS","clusterMedium",1,7.57045842725154
"300","exhaustive_test","OCS","clusterMedium",2,7.54110580314668
"301","exhaustive_test","OCS","clusterMedium",3,7.60109881079798
"302","exhaustive_test","OCS","clusterMedium",4,7.57957409417296
"303","exhaustive_test","OCS","clusterMedium",5,7.60350742230521
"304","exhaustive_test","OCS","clusterMedium",6,7.41436590545608
"305","exhaustive_test","OCS","clusterMedium",7,7.42845939549008
"306","exhaustive_test","OCS","clusterMedium",8,7.74147672455514
"307","exhaustive_test","OCS","clusterMedium",9,7.48505708536196
"308","exhaustive_test","OCS","clusterMedium",10,7.52977795561552
"309","exhaustive_test","OCS","clusterMedium",11,7.58239135448097
"310","exhaustive_test","OCS","clusterMedium",12,7.5599131694187
"311","exhaustive_test","OCS","clusterMedium",13,7.44826311142356
"312","exhaustive_test","OCS","clusterMedium",14,7.4285451775496
"313","exhaustive_test","OCS","clusterMedium",15,7.53122743661944
"314","exhaustive_test","OCS","clusterMedium",16,7.68993753027021
"315","exhaustive_test","OCS","clusterMedium",17,7.43199901283205
"316","exhaustive_test","OCS","clusterMedium",18,7.54581695553591
"317","exhaustive_test","OCS","clusterMedium",19,7.61339557244883
"318","exhaustive_test","OCS","clusterMedium",20,7.53548816693871
"319","exhaustive_test","OCS","clusterMedium",21,7.53708719886568
"320","exhaustive_test","OCS","clusterMedium",22,7.41993765992231
"321","exhaustive_test","OCS","clusterMedium",23,7.47206118471466
"322","exhaustive_test","OCS","clusterMedium",24,7.51501762372263
"323","exhaustive_test","OCS","clusterMedium",25,7.63546228731434
"324","exhaustive_test","OCS","clusterMedium",26,7.41183812890958
"325","exhaustive_test","OCS","clusterMedium",27,7.59022366203495
"326","exhaustive_test","OCS","clusterMedium",28,7.64870139557216
"327","exhaustive_test","OCS","clusterMedium",29,7.49147340221512
"328","exhaustive_test","OCS","clusterMedium",30,7.50113749648028
"329","exhaustive_test","OCS","clusterMedium",31,7.77938640011832
"330","exhaustive_test","OCS","clusterMedium",32,7.46723139899898
"331","exhaustive_test","OCS","clusterMedium",33,7.37913354603601
"332","exhaustive_test","OCS","clusterMedium",34,7.40572318117821
"333","exhaustive_test","OCS","clusterMedium",35,7.73113360326402
"334","exhaustive_test","OCS","clusterMedium",36,7.40412938410053
"335","exhaustive_test","OCS","clusterMedium",37,7.48785166108361
"336","exhaustive_test","OCS","clusterMedium",38,7.51426642023401
"337","exhaustive_test","OCS","clusterMedium",39,7.59995309588812
"338","exhaustive_test","OCS","clusterMedium",40,7.5094054395029
"339","exhaustive_test","OCS","clusterMedium",41,7.46295166040614
"340","exhaustive_test","OCS","clusterMedium",42,7.48973018592768
"341","exhaustive_test","OCS","clusterMedium",43,7.40455819156259
"342","exhaustive_test","OCS","clusterMedium",44,7.70490459217643
"343","exhaustive_test","OCS","clusterMedium",45,7.57880658348207
"344","exhaustive_test","OCS","clusterMedium",46,7.6766581350474
"345","exhaustive_test","OCS","clusterMedium",47,7.37372398078819
"346","exhaustive_test","OCS","clusterMedium",48,7.39278710618046
"347","exhaustive_test","OCS","clusterMedium",49,7.52635258936874
"348","exhaustive_test","OCS","clusterMedium",50,7.51238691355969
"349","exhaustive_test","OCS","clusterStrong",1,8.39116384363587
"350","exhaustive_test","OCS","clusterStrong",2,7.96975338984054
"351","exhaustive_test","OCS","clusterStrong",3,8.39732548356182
"352","exhaustive_test","OCS","clusterStrong",4,9.18857849188013
"353","exhaustive_test","OCS","clusterStrong",5,8.90007331229304
"354","exhaustive_test","OCS","clusterStrong",6,8.20405774446356
"355","exhaustive_test","OCS","clusterStrong",7,8.11578477644421
"356","exhaustive_test","OCS","clusterStrong",8,8.11732902117831
"357","exhaustive_test","OCS","clusterStrong",9,8.03384410182624
"358","exhaustive_test","OCS","clusterStrong",10,8.83873492571791
"359","exhaustive_test","OCS","clusterStrong",11,7.89154643873151
"360","exhaustive_test","OCS","clusterStrong",12,8.5756030896034
"361","exhaustive_test","OCS","clusterStrong",13,7.96845095018637
"362","exhaustive_test","OCS","clusterStrong",14,8.03261145913315
"363","exhaustive_test","OCS","clusterStrong",15,7.96743941968677
"364","exhaustive_test","OCS","clusterStrong",16,8.27307280563642
"365","exhaustive_test","OCS","clusterStrong",17,8.15927870485022
"366","exhaustive_test","OCS","clusterStrong",18,8.16824460413254
"367","exhaustive_test","OCS","clusterStrong",19,7.66286498359231
"368","exhaustive_test","OCS","clusterStrong",20,8.32838641458007
"369","exhaustive_test","OCS","clusterStrong",21,8.20103885018524
"370","exhaustive_test","OCS","clusterStrong",22,8.43533787805911
"371","exhaustive_test","OCS","clusterStrong",23,7.97183666657599
"372","exhaustive_test","OCS","clusterStrong",24,8.42033754535616
"373","exhaustive_test","OCS","clusterStrong",25,8.07276957956102
